,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NÚMERO DE HABITANTES POR CADA MÉDICO, SEGÚN DEPARTAMENTO, 2015-2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Departamento,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,  508,  489,  494,  477,  457,  442,  430,  418,  406,  398,  389,  379,  366,  353,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazonas, 2 079, 1 987, 1 770, 1 858, 1 852, 1 747, 1 722, 1 724, 1 666, 1 709, 1 700, 1 611, 1 562, 1 503,,,,,,,,,,,,,,,,,,,,,,,,,,,
Áncash, 1 150, 1 054,  918,  878,  820,  825,  808,  783,  751,  745,  724,  703,  670,  638,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apurímac, 1 394, 1 311, 1 172, 1 151, 1 029,  969,  929,  927,  856,  897,  896,  875,  826,  832,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arequipa,  295,  287,  278,  273,  262,  255,  255,  251,  249,  251,  251,  247,  241,  236,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayacucho, 1 907, 1 847, 1 782, 1 798, 1 720, 1 623, 1 592, 1 566, 1 465, 1 429, 1 372, 1 248, 1 160, 1 051,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cajamarca, 2 473, 2 321, 2 116, 2 034, 1 943, 1 845, 1 782, 1 700, 1 644, 1 567, 1 519, 1 467, 1 376, 1 302,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prov. Const. del Callao,  439,  435,  487,  480,  480,  479,  488,  497,  499,  512,  532,  523,  524,  528,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cusco,  799,  748,  716,  695,  655,  613,  572,  544,  518,  495,  473,  457,  434,  405,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huancavelica, 1 926, 1 787, 1 570, 1 591, 1 602, 1 519, 1 367, 1 347, 1 311, 1 271, 1 198, 1 203, 1 143, 1 121,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huánuco, 1 717, 1 578, 1 603, 1 457, 1 288, 1 152, 1 084, 1 024,  956,  931,  886,  872,  851,  810,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ica,  463,  461,  439,  434,  435,  437,  442,  439,  446,  439,  441,  437,  424,  407,,,,,,,,,,,,,,,,,,,,,,,,,,,
Junín, 1 028,  939,  787,  754,  747,  719,  691,  678,  649,  631,  611,  583,  546,  514,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Libertad,  564,  535,  484,  458,  423,  402,  380,  359,  342,  332,  320,  315,  304,  292,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambayeque,  648,  620,  613,  575,  556,  518,  498,  472,  446,  432,  413,  394,  371,  348,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lima,  270,  263,  280,  271,  261,  256,  251,  247,  243,  239,  234,  230,  225,  219,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loreto, 1 291, 1 219, 1 189, 1 132, 1 096, 1 045, 1 006,  995,  984,  973,  977,  990,  982,  959,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madre de Dios,  965,  935,  838,  880,  857,  855,  823,  833,  832,  906,  915,  894,  847,  753,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moquegua,  620,  597,  628,  622,  659,  629,  625,  601,  573,  555,  546,  558,  548,  515,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasco, 1 553, 1 447, 1 313, 1 339, 1 349, 1 272, 1 253, 1 168,  974,  983, 1 018, 1 042, 1 028,  894,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piura, 1 207, 1 169, 1 229, 1 216, 1 181, 1 043,  981,  936,  892,  854,  813,  790,  744,  712,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puno, 1 528, 1 424, 1 232, 1 193, 1 129, 1 042,  956,  857,  803,  758,  718,  642,  603,  548,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Martín, 1 977, 1 924, 2 132, 2 119, 1 947, 1 833, 1 751, 1 636, 1 585, 1 593, 1 494, 1 449, 1 376, 1 271,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tacna,  461,  428,  357,  347,  336,  323,  322,  315,  315,  312,  310,  302,  291,  280,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tumbes, 1 237, 1 189, 1 146, 1 160, 1 153, 1 154, 1 119, 1 162, 1 144, 1 126, 1 108, 1 084, 1 034,  989,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ucayali, 1 548, 1 491, 1 541, 1 480, 1 386, 1 350, 1 259, 1 183, 1 113, 1 030,  979,  931,  933,  876,,,,,,,,,,,,,,,,,,,,,,,,,,,


